lat,lng,t,f
41.89549209997293,12.4724631787832,person,130
41.895465353021855,12.472425000383623,person,130
41.89555228057188,12.472320571231846,person,130
41.89549878670894,12.472250951797326,person,130
41.89547538312982,12.472225125232907,person,130
41.89548875660465,12.472168980527648,person,130
41.89552887701235,12.472166734739439,person,130
41.8955589673016,12.472148768433756,person,130
41.895582370850086,12.472071288740501,car,130
41.89556565403061,12.472049953752505,person,130
41.89555228057188,12.472027495870401,person,130
41.89562583456025,12.472076903211027,person,130
41.895619147837536,12.472052199540714,person,130
41.89581640586334,12.471992686153142,person,130
41.89581306251205,12.471980334317985,person,130
41.89580303245712,12.47194664749483,person,130
41.89549209997293,12.4724631787832,person,140
41.89546869639135,12.472423877489518,person,140
41.89555228057188,12.472322817020055,person,140
41.89549544334101,12.472250951797326,person,140
41.89547538312982,12.472226248127011,person,140
41.89548875660465,12.472168980527648,person,140
41.89552887701235,12.472163366057123,person,140
41.8955589673016,12.472146522645547,person,140
41.895542250475984,12.472084763469763,person,140
41.895582370850086,12.472071288740501,car,140
41.89557234075893,12.472052199540714,person,140
41.89555228057188,12.472028618764506,person,140
41.89562583456025,12.472076903211027,person,140
41.89562249119898,12.47205107664661,person,140
41.89581306251205,12.471989317470825,person,140
41.89580971916058,12.471976965635669,person,140
41.89580637580894,12.471952261965356,person,140
41.89548875660465,12.4724631787832,person,150
41.89546869639135,12.472421631701309,person,150
41.8954452928012,12.472305973608478,person,150
41.89555228057188,12.472325062808267,person,150
41.89549878670894,12.472250951797326,person,150
41.89548875660465,12.472170103421755,person,150
41.89548875660465,12.472164488951229,person,150
41.89552887701235,12.472168980527648,person,150
41.89552887701235,12.472159997374808,person,150
41.89556231066619,12.472173472104071,person,150
41.89554559384146,12.472085886363868,person,150
41.895582370850086,12.472071288740501,car,150
41.89556899739486,12.472054445328924,person,150
41.89555228057188,12.47202525008219,person,150
41.89562583456025,12.472076903211027,person,150
41.89562249119898,12.47205107664661,person,150
41.89581306251205,12.471987071682616,person,150
41.89580971916058,12.471975842741564,person,150
41.89580971916058,12.471956753541777,person,150
41.89548875660465,12.4724631787832,person,160
41.89547203976067,12.472418263018993,person,160
41.895548937206755,12.472326185702372,person,160
41.89549878670894,12.472248706009117,person,160
41.89548875660465,12.472170103421755,person,160
41.89552887701235,12.472158874480703,person,160
41.89556231066619,12.472174594998176,person,160
41.895538907110335,12.472069042952292,person,160
41.895582370850086,12.472072411634606,car,160
41.89556899739486,12.47205556822303,person,160
41.89555228057188,12.472027495870401,person,160
41.89562583456025,12.472076903211027,person,160
41.89562249119898,12.47205107664661,person,160
41.89580971916058,12.4719837030003,person,160
41.89580303245712,12.471980334317985,person,160
41.895548937206755,12.472325062808267,person,170
41.89548875660465,12.472168980527648,person,170
41.89548875660465,12.472163366057123,person,170
41.89556231066619,12.472173472104071,person,170
41.895542250475984,12.472144276857335,person,170
41.8955589673016,12.47214315396323,person,170
41.895538907110335,12.472069042952292,person,170
41.89558571421346,12.47206679716408,car,170
41.89555228057188,12.472026372976295,person,170
41.89562583456025,12.472078026105132,person,170
41.895619147837536,12.47205107664661,person,170
41.89580971916058,12.47198145721209,person,170
41.895866556111756,12.47205556822303,person,170
41.89548206986758,12.472408156972048,person,180
41.895548937206755,12.472328431490581,person,180
41.89549878670894,12.472249828903221,person,180
41.89548875660465,12.472168980527648,person,180
41.89548875660465,12.472163366057123,person,180
41.89553556374452,12.472146522645547,person,180
41.89556899739486,12.472166734739439,person,180
41.89555562393682,12.47214315396323,person,180
41.895538907110335,12.472071288740501,person,180
41.89558571421346,12.472067920058187,car,180
41.8955589673016,12.472046585070188,person,180
41.89555228057188,12.472026372976295,person,180
41.89562583456025,12.472078026105132,person,180
41.89562249119898,12.47205107664661,person,180
41.89580637580894,12.471978088529776,person,180
41.89548541323621,12.472404788289731,person,190
41.89554559384146,12.472329554384686,person,190
41.89549878670894,12.472248706009117,person,190
41.89548875660465,12.472168980527648,person,190
41.89556231066619,12.472173472104071,person,190
41.89553556374452,12.472145399751442,person,190
41.89551884691279,12.472120696081129,person,190
41.89555562393682,12.47214315396323,person,190
41.89551884691279,12.472071288740501,person,190
41.895538907110335,12.472073534528711,person,190
41.895582370850086,12.472073534528711,car,190
41.8955589673016,12.472067920058187,person,190
41.89555228057188,12.472026372976295,person,190
41.89562583456025,12.472078026105132,person,190
41.89562249119898,12.47205107664661,person,190
41.89580637580894,12.471976965635669,person,190
41.89580303245712,12.471963490906408,person,190
41.89586321276308,12.472049953752505,person,190
41.895462009652185,12.472263303632483,person,200
41.89549544334101,12.472250951797326,person,200
41.89548875660465,12.472171226315862,person,200
41.89556231066619,12.472174594998176,person,200
41.89553556374452,12.472145399751442,person,200
41.89551884691279,12.472120696081129,person,200
41.89555562393682,12.472145399751442,person,200
41.89552553364601,12.472087009257974,person,200
41.89551884691279,12.472074657422818,person,200
41.895582370850086,12.472071288740501,car,200
41.895522190279486,12.472026372976295,person,200
41.8955589673016,12.47205107664661,person,200
41.89555562393682,12.47202300429398,person,200
41.89562583456025,12.472076903211027,person,200
